Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
9,1000,0.1,0.2,50.0,1000,1965,1748,999,48288.039062,0.020688
10,1000,0.1,0.2,50.0,1000,1927,1744,997,50269.402344,0.019833
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1678,999,51165.996094,0.019525
2,1000,0.1,0.2,50.0,1000,1945,1760,999,50363.828125,0.019836
3,1000,0.1,0.2,50.0,1000,1954,1758,999,49988.410156,0.019985
4,1000,0.1,0.2,50.0,1000,1898,1716,999,48883.699219,0.020436
5,1000,0.1,0.2,50.0,1000,1844,1672,999,50042.433594,0.019963
6,1000,0.1,0.2,50.0,1000,1861,1690,999,49514.960938,0.020176
7,1000,0.1,0.2,50.0,1000,1941,1744,998,49889.187500,0.020004
8,1000,0.1,0.2,50.0,1000,1916,1730,999,51142.589844,0.019534
9,1000,0.1,0.2,50.0,1000,1965,1748,999,48288.039062,0.020688
10,1000,0.1,0.2,50.0,1000,1927,1744,997,50269.402344,0.019833
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.1,0.2,50.0,1000,1866,1678,999,51165.996094,0.019525
2,1000,0.1,0.2,50.0,1000,1945,1760,999,50363.828125,0.019836
3,1000,0.1,0.2,50.0,1000,1954,1758,999,49988.410156,0.019985
4,1000,0.1,0.2,50.0,1000,1898,1716,999,48883.699219,0.020436
5,1000,0.1,0.2,50.0,1000,1844,1672,999,50042.433594,0.019963
6,1000,0.1,0.2,50.0,1000,1861,1690,999,49514.960938,0.020176
7,1000,0.1,0.2,50.0,1000,1941,1744,998,49889.187500,0.020004
8,1000,0.1,0.2,50.0,1000,1916,1730,999,51142.589844,0.019534
9,1000,0.1,0.2,50.0,1000,1965,1748,999,48288.039062,0.020688
10,1000,0.1,0.2,50.0,1000,1927,1744,997,50269.402344,0.019833
